,Simulated,Observed,zone,geometry,well
2012-03-31,27.206501,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-04-01,28.210688,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-04-02,29.599445,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-04-03,29.802225,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-04-04,29.278502,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-04-05,28.395813,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-04-06,27.437422,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-04-07,26.395544,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-04-08,25.34358,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-04-09,24.31855,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-04-10,23.372183,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-04-11,22.547556,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-04-12,22.01823,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-04-13,22.12788,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-04-14,23.803167,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-04-15,24.788624,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-04-16,24.607933,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-04-17,24.013483,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-04-18,23.264776,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-04-19,22.515863,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-04-20,21.775661,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-04-21,21.038523,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-04-22,20.322048,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-04-23,19.601109,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-04-24,18.876835,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-04-25,18.198229,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-04-26,17.587778,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-04-27,16.998558,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-04-28,16.420033,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-04-29,15.861208,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-04-30,15.323249,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-01,14.766662,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-02,14.1992655,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-03,13.630614,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-04,13.0702095,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-05,12.522961,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-06,11.984871,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-07,11.4477415,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-08,10.911087,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-09,10.375758,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-10,9.8411045,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-11,9.305936,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-12,8.77106,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-13,8.239249,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-14,7.7106705,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-15,7.1895986,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-16,6.6803293,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-17,6.1836076,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-18,5.698917,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-19,5.2214403,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-20,4.750567,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-21,4.2882543,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-22,3.836063,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-23,3.3958974,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-24,2.9660597,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-25,2.5447679,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-26,2.131488,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-27,1.731857,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-28,1.3486884,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-29,0.97340286,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-30,0.6029956,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-05-31,0.23660019,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-06-01,-0.12831524,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-06-02,-0.4913774,,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-06-03,-0.85523355,24.519583333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-06-04,-1.2201084,25.05666666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-06-05,-1.581605,29.80375,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-06-06,-1.8915652,28.648333333333337,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-06-07,-2.1959393,31.72375,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-06-08,-2.5210953,29.19833333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-06-09,-2.8464675,32.068333333333335,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-06-10,-3.1675463,29.36125,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-06-11,-3.4840145,26.629583333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-06-12,-3.7958612,25.414583333333336,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-06-13,-4.1015425,24.864166666666662,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-06-14,-4.4017153,25.11208333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-06-15,-4.694752,24.755416666666665,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-06-16,-4.9766507,24.334166666666665,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-06-17,-5.2526097,24.14375,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-06-18,-5.5303097,25.515,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-06-19,-5.80696,25.33,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-06-20,-7.135857,24.157083333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-06-21,-8.022182,23.4475,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-06-22,-8.752309,22.839166666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-06-23,-9.425765,22.165000000000003,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-06-24,-10.164526,21.730416666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-06-25,-10.57721,23.730416666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-06-26,-9.27294,26.04625,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-06-27,-8.509519,26.500833333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-06-28,-9.090598,24.271666666666665,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-06-29,-10.302544,23.439166666666665,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-06-30,-11.210256,23.03375,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-01,-12.038328,22.67333333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-02,-12.8448305,23.817916666666665,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-03,-12.383767,26.609583333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-04,-12.283975,25.90875,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-05,-12.608363,23.4975,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-06,-13.216405,21.300833333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-07,-14.029427,21.41375,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-08,-15.007627,21.43458333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-09,-15.901205,22.55208333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-10,-15.632626,24.99291666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-11,-16.465889,23.35,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-12,-18.048315,21.40375,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-13,-18.95031,21.97,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-14,-19.340603,22.831666666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-15,-19.619696,27.252916666666668,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-16,-17.259693,27.426666666666662,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-17,-19.1161,25.02541666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-18,-19.999195,27.61208333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-19,-15.726259,32.915,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-20,-13.237034,31.36916666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-21,-16.12245,30.18583333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-22,-17.433466,27.63,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-23,-18.242416,27.715,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-24,-16.869844,32.34666666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-25,-9.929671,35.44166666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-26,-4.9059567,36.20166666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-27,-3.1925294,35.80291666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-28,-4.709608,32.53916666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-29,-5.6198115,31.755416666666665,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-30,-6.0595794,31.25958333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-07-31,-6.683449,29.464166666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-08-01,-6.2609277,29.899583333333336,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
